Subject,Level,Combined,final_greater_project,final_greater_predicted,final_greater_both,final_less_both,no_pass_when_passed_both,exam_greater_final
BIOLOGY,HL,Biology HL,0.288,0.096,0.077,0.033,-0.077,0.224
BIOLOGY,SL,Biology SL,0.269,0.059,0.163,0.024,0.005,0.295
ENGLISH A: Lang and Literature,HL,English HL,0,0.239,0.043,-0.023,-0.006,0.228
ENV. AND SOC.,SL,Enivornmental Studies SL,0.261,0.051,0.051,0.001,-0.02,0.157
HISTORY AMERICAS,HL,History HL,0.177,0.244,0.137,0.061,0.121,0.261
MATH.STUDIES,SL,Math Studies SL,0.316,0.024,0.009,-0.012,0.021,0.228
MATHEMATICS,SL,Mathematics SL,0,0.052,0,-0.006,0.022,0.017
MUSIC,HL,Music HL,0,0,0,-0.077,0,0.077
SPANISH AB.,SL,Spanish AB Initio SL,0,0.115,0,-0.203,-0.055,0.083
SPANISH B,SL,Spanish B SL,0,0.262,0.018,-0.11,-0.099,0.164
